Carrier,Manufacture,Model,Release_Date,Bulletin_Level,difference,Android_Level_Guessed,build
Verizon,LG,G Pad X8.3,2017-03-08 00:00:00,2017-03-05 00:00:00,3.0,False,nan
Verizon,LG,G Vista,2017-05-02 00:00:00,2017-05-01 00:00:00,1.0,False,nan
Verizon,LG,G2,2015-11-02 00:00:00,2015-11-01 00:00:00,1.0,True,nan
Verizon,LG,G3,2017-02-28 00:00:00,2017-02-01 00:00:00,27.0,True,nan
Verizon,LG,G3,2017-02-28 00:00:00,2017-02-05 00:00:00,23.0,True,nan
Verizon,LG,G3,2017-04-11 00:00:00,2017-04-01 00:00:00,10.0,True,nan
Verizon,LG,G3,2017-04-11 00:00:00,2017-04-03 00:00:00,8.0,False,nan
Verizon,LG,G4,2017-06-06 00:00:00,2017-06-01 00:00:00,5.0,True,nan
Verizon,LG,G4,2017-06-06 00:00:00,2017-06-05 00:00:00,1.0,True,nan
Verizon,LG,G5,2018-03-20 00:00:00,2018-03-01 00:00:00,19.0,False,nan
Verizon,LG,G5,2018-09-21 00:00:00,2018-08-01 00:00:00,51.0,False,nan
Verizon,LG,G5,2018-10-25 00:00:00,2018-10-01 00:00:00,24.0,nan, VS98730b VS98730b
Verizon,LG,G6,2018-11-30 00:00:00,2018-11-01 00:00:00,29.0,False,nan
Verizon,LG,G6,2019-01-15 00:00:00,2018-12-01 00:00:00,45.0,False,nan
Verizon,LG,G6,2019-02-18 00:00:00,2019-02-01 00:00:00,17.0,False,nan
Verizon,LG,G6,2019-07-24 00:00:00,2019-05-01 00:00:00,84.0,False,nan
Verizon,LG,G6,2019-09-24 00:00:00,2019-08-01 00:00:00,54.0,False,nan
Verizon,LG,G7 ThinQ,2019-01-24 00:00:00,2018-12-01 00:00:00,54.0,False,nan
Verizon,LG,G7 ThinQ,2019-03-04 00:00:00,2019-02-01 00:00:00,31.0,False,nan
Verizon,LG,G7 ThinQ,2019-04-12 00:00:00,2019-03-01 00:00:00,42.0,False,nan
Verizon,LG,G7 ThinQ,2019-06-04 00:00:00,2019-04-01 00:00:00,64.0,nan, G710VM20a G710VM20a
Verizon,LG,G7 ThinQ,2019-06-21 00:00:00,2019-05-01 00:00:00,51.0,False,nan
Verizon,LG,G7 ThinQ,2019-09-06 00:00:00,2019-08-01 00:00:00,36.0,False,nan
Verizon,LG,G7 ThinQ,2019-11-01 00:00:00,2019-10-01 00:00:00,31.0,False,nan
Verizon,LG,G8 ThinQ,2019-04-24 00:00:00,2019-04-01 00:00:00,23.0,False,nan
Verizon,LG,G8 ThinQ,2019-07-26 00:00:00,2019-06-01 00:00:00,55.0,False,nan
Verizon,LG,G8 ThinQ,2019-10-04 00:00:00,2019-09-01 00:00:00,33.0,False,nan
Verizon,LG,G8 ThinQ,2019-11-22 00:00:00,2019-10-01 00:00:00,52.0,False,nan
Verizon,LG,K20 V,2018-12-20 00:00:00,2018-12-01 00:00:00,19.0,False,nan
Verizon,LG,K20 V,2019-02-14 00:00:00,2019-01-01 00:00:00,44.0,False,nan
Verizon,LG,K20 V,2019-03-20 00:00:00,2019-03-01 00:00:00,19.0,False,nan
Verizon,LG,K4,2018-02-19 00:00:00,2018-02-01 00:00:00,18.0,False,nan
Verizon,LG,K4,2018-04-23 00:00:00,2018-04-01 00:00:00,22.0,False,nan
Verizon,LG,K8 V,2018-03-21 00:00:00,2018-03-01 00:00:00,20.0,False,nan
Verizon,LG,K8 V,2018-05-07 00:00:00,2018-04-01 00:00:00,36.0,False,nan
Verizon,LG,K8 V,2018-05-07 00:00:00,2018-05-01 00:00:00,6.0,nan, VS50020i VS50020i
Verizon,LG,Optimus Zone 3,2017-10-10 00:00:00,2017-09-01 00:00:00,39.0,False,nan
Verizon,LG,Optimus Zone 3,2017-10-10 00:00:00,2017-10-01 00:00:00,9.0,nan, VS425PP9 VS425PP9
Verizon,LG,Stylo 2 V,2018-07-20 00:00:00,2018-07-01 00:00:00,19.0,False,nan
Verizon,LG,Stylo 2 V,2018-09-20 00:00:00,2018-09-01 00:00:00,19.0,False,nan
Verizon,LG,Stylo 2 V,2019-11-20 00:00:00,2019-10-01 00:00:00,50.0,False,nan
Verizon,LG,Stylo 5,2019-10-03 00:00:00,2019-09-01 00:00:00,32.0,False,nan
Verizon,LG,Stylo 5,2019-12-02 00:00:00,2019-10-01 00:00:00,62.0,False,nan
Verizon,LG,V10,2017-08-30 00:00:00,2017-08-01 00:00:00,29.0,False,nan
Verizon,LG,V10,2018-01-16 00:00:00,2017-12-01 00:00:00,46.0,False,nan
Verizon,LG,V20,2018-09-17 00:00:00,2018-08-01 00:00:00,47.0,False,nan
Verizon,LG,V20,2018-10-18 00:00:00,2018-10-01 00:00:00,17.0,False,nan
Verizon,LG,V20,2018-11-14 00:00:00,2018-11-01 00:00:00,13.0,nan, VS99520c VS99520c
Verizon,LG,V30,2019-01-18 00:00:00,2019-01-01 00:00:00,17.0,False,nan
Verizon,LG,V30,2019-02-18 00:00:00,2019-02-01 00:00:00,17.0,False,nan
Verizon,LG,V30,2019-03-21 00:00:00,2019-03-01 00:00:00,20.0,False,nan
Verizon,LG,V30,2019-05-31 00:00:00,2019-05-01 00:00:00,30.0,False,nan
Verizon,LG,V30,2019-07-05 00:00:00,2019-06-01 00:00:00,34.0,False,nan
Verizon,LG,V30,2019-09-13 00:00:00,2019-08-01 00:00:00,43.0,False,nan
Verizon,LG,V40 ThinQ,2018-11-14 00:00:00,2018-10-01 00:00:00,44.0,False,nan
Verizon,LG,V40 ThinQ,2019-01-30 00:00:00,2018-12-01 00:00:00,60.0,False,nan
Verizon,LG,V40 ThinQ,2019-03-04 00:00:00,2019-02-01 00:00:00,31.0,False,nan
Verizon,LG,V40 ThinQ,2019-05-24 00:00:00,2019-04-01 00:00:00,53.0,nan, V405UA20a V405UA20a
Verizon,LG,V40 ThinQ,2019-06-21 00:00:00,2019-05-01 00:00:00,51.0,False,nan
Verizon,LG,V40 ThinQ,2019-09-24 00:00:00,2019-08-01 00:00:00,54.0,False,nan
Verizon,LG,V40 ThinQ,2019-11-01 00:00:00,2019-10-01 00:00:00,31.0,False,nan
Verizon,LG,V50 ThinQ 5G,2019-07-16 00:00:00,2019-07-01 00:00:00,15.0,nan, V450VM10e V450VM10e
Verizon,LG,V50 ThinQ 5G,2019-08-29 00:00:00,2019-08-01 00:00:00,28.0,False,nan
Verizon,LG,V50 ThinQ 5G,2019-10-24 00:00:00,2019-10-01 00:00:00,23.0,False,nan
Verizon,LG,Watch Urbane 2nd Edition,2016-12-19 00:00:00,2016-12-01 00:00:00,18.0,True,nan
Verizon,LG,ZONE 4,2018-12-17 00:00:00,2018-11-01 00:00:00,46.0,False,nan
Verizon,LG,ZONE 4,2019-01-23 00:00:00,2019-01-01 00:00:00,22.0,False,nan
Verizon,LG,ZONE 4,2019-03-28 00:00:00,2019-03-01 00:00:00,27.0,False,nan
Verizon,LG,ZONE 4,2019-05-28 00:00:00,2019-05-01 00:00:00,27.0,nan, X210VPP13a X210VPP13a
Verizon,LG,ZONE 4,2019-07-17 00:00:00,2019-07-01 00:00:00,16.0,False,nan
Verizon,LG,ZONE 4,2019-09-18 00:00:00,2019-09-01 00:00:00,17.0,False,nan
Verizon,LG,ZONE 4,2019-12-11 00:00:00,2019-11-01 00:00:00,40.0,False,nan
Verizon,Motorola,DROID MAXX 2,2018-02-08 00:00:00,2017-12-01 00:00:00,69.0,False,nan
Verizon,Motorola,DROID MINI,2016-05-05 00:00:00,2016-05-01 00:00:00,4.0,True,nan
Verizon,Motorola,DROID TURBO 2,2017-11-16 00:00:00,2017-08-01 00:00:00,107.0,False,nan
Verizon,Motorola,Droid Mini,2016-05-05 00:00:00,2016-05-01 00:00:00,4.0,True,nan
Verizon,Motorola,Droid TURBO,2017-03-01 00:00:00,2017-03-01 00:00:00,0.0,True,nan
Verizon,Motorola,Droid Turbo,2017-03-01 00:00:00,2017-02-06 00:00:00,23.0,True,nan
Verizon,Motorola,Droid Turbo 2,2017-11-16 00:00:00,2017-10-01 00:00:00,46.0,False,nan
Verizon,Motorola,Moto G Play,2018-03-23 00:00:00,2018-03-01 00:00:00,22.0,False,nan
Verizon,Motorola,Moto G Play,2018-05-29 00:00:00,2018-04-01 00:00:00,58.0,False,nan
Verizon,Motorola,Moto G Play,2018-05-29 00:00:00,2018-05-01 00:00:00,28.0,nan, NPI26.48-43 NPI26.48-43
Verizon,Motorola,Moto G Play,2018-06-28 00:00:00,2018-06-01 00:00:00,27.0,False,nan
Verizon,Motorola,Moto X,2016-05-16 00:00:00,2016-05-01 00:00:00,15.0,True,nan
Verizon,Motorola,Moto X (2nd Gen.),2016-11-18 00:00:00,2016-11-01 00:00:00,17.0,True,nan
Verizon,Motorola,Moto X (2nd Gen.),2016-11-18 00:00:00,2016-11-06 00:00:00,12.0,True,nan
Verizon,Motorola,Moto Z Droid Edition,2018-06-18 00:00:00,2018-05-01 00:00:00,48.0,False,nan
Verizon,Motorola,Moto Z Droid Edition,2018-07-25 00:00:00,2018-07-01 00:00:00,24.0,False,nan
Verizon,Motorola,Moto Z Droid Edition,2018-11-09 00:00:00,2018-09-01 00:00:00,69.0,False,nan
Verizon,Motorola,Moto Z Force Droid Edition,2018-06-18 00:00:00,2018-05-01 00:00:00,48.0,False,nan
Verizon,Motorola,Moto Z Force Droid Edition,2018-07-25 00:00:00,2018-07-01 00:00:00,24.0,False,nan
Verizon,Motorola,Moto Z Force Droid Edition,2018-11-09 00:00:00,2018-09-01 00:00:00,69.0,False,nan
Verizon,Motorola,Moto Z Play Droid Edition,2018-07-03 00:00:00,2018-06-01 00:00:00,32.0,False,nan
Verizon,Motorola,Moto Z Play Droid Edition,2018-09-06 00:00:00,2018-08-01 00:00:00,36.0,False,nan
Verizon,Motorola,Moto Z Play Droid Edition,2018-09-06 00:00:00,2018-09-01 00:00:00,5.0,nan, ODN27.76-12-30-8 ODN27.76-12-30-8
Verizon,Motorola,Moto Z Play Droid Edition,2018-10-09 00:00:00,2018-10-01 00:00:00,8.0,nan, ODN27.76-12-30-8-1 ODN27.76-12-30-8-1
Verizon,Motorola,Moto e4,2018-04-03 00:00:00,2018-03-01 00:00:00,33.0,False,nan
Verizon,Motorola,Moto e4,2018-04-03 00:00:00,2018-04-01 00:00:00,2.0,nan, NDQS26.69-64-2 NDQS26.69-64-2
Verizon,Motorola,Moto e4,2018-05-31 00:00:00,2018-05-01 00:00:00,30.0,False,nan
Verizon,Motorola,Moto e4,2018-07-25 00:00:00,2018-07-01 00:00:00,24.0,False,nan
Verizon,Motorola,Moto e4 gold,2018-11-28 00:00:00,2018-11-01 00:00:00,27.0,False,nan
Verizon,Motorola,Moto e4 gold,2019-02-18 00:00:00,2019-01-01 00:00:00,48.0,False,nan
Verizon,Motorola,Moto e4 gold,2019-05-03 00:00:00,2019-02-01 00:00:00,91.0,nan,nan
Verizon,Motorola,Moto e4 plus,2018-12-04 00:00:00,2018-11-01 00:00:00,33.0,False,nan
Verizon,Motorola,Moto e4 plus,2019-02-04 00:00:00,2019-01-01 00:00:00,34.0,False,nan
Verizon,Motorola,Moto e4 plus,2019-04-30 00:00:00,2019-02-01 00:00:00,88.0,False,nan
Verizon,Motorola,Moto e5 go,2019-01-25 00:00:00,2019-01-01 00:00:00,24.0,False,nan
Verizon,Motorola,Moto e5 go,2019-05-10 00:00:00,2019-02-01 00:00:00,98.0,False,nan
Verizon,Motorola,Moto e5 play,2019-01-16 00:00:00,2018-12-01 00:00:00,46.0,False,nan
Verizon,Motorola,Moto e5 play,2019-03-01 00:00:00,2019-02-01 00:00:00,28.0,False,nan
Verizon,Motorola,Moto g6,2018-12-07 00:00:00,2018-11-01 00:00:00,36.0,False,nan
Verizon,Motorola,Moto g6,2019-01-31 00:00:00,2019-01-01 00:00:00,30.0,False,nan
Verizon,Motorola,Moto g6,2019-03-29 00:00:00,2019-03-01 00:00:00,28.0,False,nan
Verizon,Motorola,Moto g6 play,2018-11-28 00:00:00,2018-11-01 00:00:00,27.0,False,nan
Verizon,Motorola,Moto g6 play,2019-01-29 00:00:00,2019-01-01 00:00:00,28.0,False,nan
Verizon,Motorola,Moto g6 play,2019-04-17 00:00:00,2019-02-01 00:00:00,75.0,False,nan
Verizon,Motorola,Moto g7 power,2019-05-08 00:00:00,2019-05-08 00:00:00,0.0,False,nan
Verizon,Motorola,Moto z2 force,2018-11-30 00:00:00,2018-11-01 00:00:00,29.0,False,nan
Verizon,Motorola,Moto z2 force,2019-01-23 00:00:00,2019-01-01 00:00:00,22.0,False,nan
Verizon,Motorola,Moto z2 force,2019-04-30 00:00:00,2019-02-01 00:00:00,88.0,False,nan
Verizon,Motorola,Moto z2 play,2018-12-27 00:00:00,2018-12-01 00:00:00,26.0,False,nan
Verizon,Motorola,Moto z2 play,2019-02-22 00:00:00,2019-02-01 00:00:00,21.0,False,nan
Verizon,Motorola,Moto z3,2018-12-27 00:00:00,2018-12-01 00:00:00,26.0,False,nan
Verizon,Motorola,Moto z3,2019-04-02 00:00:00,2019-03-01 00:00:00,32.0,False,nan
Verizon,Motorola,e 4  gold,2019-05-03 00:00:00,2019-02-01 00:00:00,91.0,nan, NDQS26.69-64-11-7 NDQS26.69-64-11-7
Verizon,Motorola,e 4  gold,2019-08-14 00:00:00,2019-07-01 00:00:00,44.0,nan, NDQS26.69-64-11-13 NDQS26.69-64-11-13
Verizon,Motorola,e 4  gold,2019-10-03 00:00:00,2019-09-01 00:00:00,32.0,nan, NDQS26.69-64-11-5 NDQS26.69-64-11-5
Verizon,Motorola,e 4  plus,2019-02-04 00:00:00,2019-01-01 00:00:00,34.0,nan, NDRS26.58-33-9-10 NDRS26.58-33-9-10
Verizon,Motorola,e 4  plus,2019-04-30 00:00:00,2019-02-01 00:00:00,88.0,nan, NDRS26.58-33-9-12 NDRS26.58-33-9-12
Verizon,Motorola,e 4  plus,2019-07-26 00:00:00,2019-06-01 00:00:00,55.0,nan, NDRS26.58-33-9-16 NDRS26.58-33-9-16
Verizon,Motorola,e 4  prepaid,2019-05-03 00:00:00,2019-02-01 00:00:00,91.0,nan, NDQS26.69-64-11-7 NDQS26.69-64-11-7
Verizon,Motorola,e 4  prepaid,2019-08-14 00:00:00,2019-07-01 00:00:00,44.0,nan, NDQS26.69-64-11-13 NDQS26.69-64-11-13
Verizon,Motorola,e 4  prepaid,2019-10-03 00:00:00,2019-09-01 00:00:00,32.0,nan, NDQS26.69-64-11-16 NDQS26.69-64-11-16
Verizon,Motorola,e 5  go,2019-06-13 00:00:00,2019-05-01 00:00:00,43.0,nan, OPP28.151-22-5 OPP28.151-22-5
Verizon,Motorola,e 5  go,2019-08-05 00:00:00,2019-07-01 00:00:00,35.0,nan, OPPS28.151-22-5-4 OPPS28.151-22-5-4
Verizon,Motorola,e 5  go,2019-09-24 00:00:00,2019-09-01 00:00:00,23.0,nan, OPPS28.151-22-5-6 OPPS28.151-22-5-6
Verizon,Motorola,e 5  play,2019-07-29 00:00:00,2019-06-01 00:00:00,58.0,nan, ODP27.91-167-9 ODP27.91-167-9
Verizon,Motorola,e 5  play,2019-08-29 00:00:00,2019-08-01 00:00:00,28.0,nan, ODPS27.91-167-9-2 ODPS27.91-167-9-2
Verizon,Motorola,e 5  play,2019-10-10 00:00:00,2019-10-01 00:00:00,9.0,nan, ODPS27.91-167-9-3 ODPS27.91-167-9-3
Verizon,Motorola,e 6,2019-09-24 00:00:00,2019-08-01 00:00:00,54.0,nan, PCB29.73-81 PCB29.73-81
Verizon,Motorola,e4,2018-04-03 00:00:00,2018-03-01 00:00:00,33.0,False,nan
Verizon,Motorola,e4,2018-05-31 00:00:00,2018-05-01 00:00:00,30.0,False,nan
Verizon,Motorola,e4,2018-07-25 00:00:00,2018-07-01 00:00:00,24.0,False,nan
Verizon,Motorola,e4 gold,2019-05-03 00:00:00,2019-02-01 00:00:00,91.0,False,nan
Verizon,Motorola,e4 gold,2019-08-14 00:00:00,2019-07-01 00:00:00,44.0,False,nan
Verizon,Motorola,e4 gold,2019-10-03 00:00:00,2019-09-01 00:00:00,32.0,False,nan
Verizon,Motorola,e4 plus,2019-02-04 00:00:00,2019-01-01 00:00:00,34.0,False,nan
Verizon,Motorola,e4 plus,2019-04-30 00:00:00,2019-02-01 00:00:00,88.0,False,nan
Verizon,Motorola,e4 plus,2019-07-26 00:00:00,2019-06-01 00:00:00,55.0,False,nan
Verizon,Motorola,e4 prepaid,2019-05-03 00:00:00,2019-02-01 00:00:00,91.0,False,nan
Verizon,Motorola,e4 prepaid,2019-08-14 00:00:00,2019-07-01 00:00:00,44.0,False,nan
Verizon,Motorola,e4 prepaid,2019-10-03 00:00:00,2019-09-01 00:00:00,32.0,False,nan
Verizon,Motorola,e5 go,2019-08-05 00:00:00,2019-07-01 00:00:00,35.0,False,nan
Verizon,Motorola,e5 go,2019-09-24 00:00:00,2019-09-01 00:00:00,23.0,False,nan
Verizon,Motorola,e5 go,2019-11-21 00:00:00,2019-11-01 00:00:00,20.0,False,nan
Verizon,Motorola,e5 play,2019-08-29 00:00:00,2019-08-01 00:00:00,28.0,False,nan
Verizon,Motorola,e5 play,2019-10-10 00:00:00,2019-10-01 00:00:00,9.0,False,nan
Verizon,Motorola,e5 play,2019-11-22 00:00:00,2019-11-01 00:00:00,21.0,False,nan
Verizon,Motorola,e6,2019-09-24 00:00:00,2019-08-01 00:00:00,54.0,False,nan
Verizon,Motorola,e6,2019-10-24 00:00:00,2019-10-01 00:00:00,23.0,False,nan
Verizon,Motorola,g 6,2019-03-29 00:00:00,2019-03-01 00:00:00,28.0,nan, ODSS27.104-95-6 ODSS27.104-95-6
Verizon,Motorola,g 6,2019-07-10 00:00:00,2019-06-01 00:00:00,39.0,nan, PDS29.118-15-2 PDS29.118-15-2
Verizon,Motorola,g 6,2019-08-22 00:00:00,2019-08-01 00:00:00,21.0,nan, PDS29.118-15-11 PDS29.118-15-11
Verizon,Motorola,g 6  play,2019-04-17 00:00:00,2019-02-01 00:00:00,75.0,nan, ODPS27.91-106-4-8 ODPS27.91-106-4-8
Verizon,Motorola,g 6  play,2019-07-16 00:00:00,2019-06-01 00:00:00,45.0,nan, PDP29.118-38 PDP29.118-38
Verizon,Motorola,g 6  play,2019-08-29 00:00:00,2019-08-01 00:00:00,28.0,nan, PDPS29.118-38-2 PDPS29.118-38-2
Verizon,Motorola,g 7  power,2019-08-12 00:00:00,2019-06-01 00:00:00,72.0,nan, PDO29.114-134 PDO29.114-134
Verizon,Motorola,g 7  power,2019-09-03 00:00:00,2019-08-01 00:00:00,33.0,nan, PDOS29.114-134-2 PDOS29.114-134-2
Verizon,Motorola,g6,2019-07-10 00:00:00,2019-06-01 00:00:00,39.0,False,nan
Verizon,Motorola,g6,2019-08-22 00:00:00,2019-08-01 00:00:00,21.0,False,nan
Verizon,Motorola,g6,2019-12-05 00:00:00,2019-10-01 00:00:00,65.0,False,nan
Verizon,Motorola,g6 play,2019-07-16 00:00:00,2019-06-01 00:00:00,45.0,False,nan
Verizon,Motorola,g6 play,2019-08-29 00:00:00,2019-08-01 00:00:00,28.0,False,nan
Verizon,Motorola,g6 play,2019-11-14 00:00:00,2019-10-01 00:00:00,44.0,False,nan
Verizon,Motorola,g7 power,2019-08-12 00:00:00,2019-06-01 00:00:00,72.0,False,nan
Verizon,Motorola,g7 power,2019-09-03 00:00:00,2019-08-01 00:00:00,33.0,False,nan
Verizon,Motorola,g7 power,2019-10-31 00:00:00,2019-10-01 00:00:00,30.0,False,nan
Verizon,Motorola,z 2  force edition,2019-01-23 00:00:00,2019-01-01 00:00:00,22.0,nan, ODXS27.109-34-17-3-3 ODXS27.109-34-17-3-3
Verizon,Motorola,z 2  force edition,2019-04-30 00:00:00,2019-02-01 00:00:00,88.0,nan, ODXS27.109-34-17-3-5 ODXS27.109-34-17-3-5
Verizon,Motorola,z 2  force edition,2019-07-29 00:00:00,2019-06-01 00:00:00,58.0,nan, PCX29.159-21 PCX29.159-21
Verizon,Motorola,z 2  play,2019-02-22 00:00:00,2019-02-01 00:00:00,21.0,nan, ODSS27.76-12-42-6 ODSS27.76-12-42-6
Verizon,Motorola,z 2  play,2019-08-21 00:00:00,2019-06-01 00:00:00,81.0,nan, ODS27.76-12-42-14 ODS27.76-12-42-14
Verizon,Motorola,z 3,2019-05-23 00:00:00,2019-05-01 00:00:00,22.0,nan, PDXS29.84-30-3 PDXS29.84-30-3
Verizon,Motorola,z 3,2019-06-25 00:00:00,2019-06-01 00:00:00,24.0,nan, PDX29.84-42 PDX29.84-42
Verizon,Motorola,z 3,2019-09-10 00:00:00,2019-08-01 00:00:00,40.0,nan, PDXS29.84-42-3 PDXS29.84-42-3
Verizon,Motorola,z 4,2019-06-13 00:00:00,2019-05-01 00:00:00,43.0,nan, PDF29.105-25-11 PDF29.105-25-11
Verizon,Motorola,z 4,2019-08-22 00:00:00,2019-08-01 00:00:00,21.0,nan, PDF29.105-25-20 PDF29.105-25-20
Verizon,Motorola,z2 force edition,2019-01-23 00:00:00,2019-01-01 00:00:00,22.0,False,nan
Verizon,Motorola,z2 force edition,2019-04-30 00:00:00,2019-02-01 00:00:00,88.0,False,nan
Verizon,Motorola,z2 force edition,2019-07-29 00:00:00,2019-06-01 00:00:00,58.0,False,nan
Verizon,Motorola,z2 play,2019-02-22 00:00:00,2019-02-01 00:00:00,21.0,False,nan
Verizon,Motorola,z2 play,2019-08-21 00:00:00,2019-06-01 00:00:00,81.0,False,nan
Verizon,Motorola,z3,2019-05-23 00:00:00,2019-05-01 00:00:00,22.0,False,nan
Verizon,Motorola,z3,2019-06-25 00:00:00,2019-06-01 00:00:00,24.0,False,nan
Verizon,Motorola,z3,2019-09-10 00:00:00,2019-08-01 00:00:00,40.0,False,nan
Verizon,Motorola,z4,2019-06-13 00:00:00,2019-05-01 00:00:00,43.0,False,nan
Verizon,Motorola,z4,2019-08-22 00:00:00,2019-08-01 00:00:00,21.0,False,nan
Verizon,Motorola,z4,2019-11-14 00:00:00,2019-10-01 00:00:00,44.0,False,nan
Verizon,Nexus,6,2017-10-02 00:00:00,2017-10-01 00:00:00,1.0,True,nan
Verizon,Nokia,2 V,2019-09-09 00:00:00,2019-08-01 00:00:00,39.0,nan, 00WW_1_13C 00WW_1_13C
Verizon,Nokia,2 V,2019-09-17 00:00:00,2019-09-01 00:00:00,16.0,False,nan
Verizon,Nokia,2 V,2019-10-08 00:00:00,2019-10-01 00:00:00,7.0,False,nan
Verizon,Nokia,2 V,2019-11-11 00:00:00,2019-11-01 00:00:00,10.0,False,nan
Verizon,Nokia,3 V,2019-08-22 00:00:00,2019-07-01 00:00:00,52.0,False,nan
Verizon,Nokia,3 V,2019-10-24 00:00:00,2019-09-01 00:00:00,53.0,False,nan
Verizon,Nokia,Nokia 2 V,2019-01-25 00:00:00,2019-01-01 00:00:00,24.0,False,nan
Verizon,Nokia,Nokia 2 V,2019-03-04 00:00:00,2019-03-01 00:00:00,3.0,False,nan
Verizon,Nokia,Nokia 2 V,2019-05-08 00:00:00,2019-05-01 00:00:00,7.0,False,nan
Verizon,Orbic,Orbic Wonder,2018-10-12 00:00:00,2018-08-01 00:00:00,72.0,False,nan
Verizon,Orbic,Orbic Wonder,2018-11-06 00:00:00,2018-11-01 00:00:00,5.0,False,nan
Verizon,Orbic,Orbic Wonder,2019-03-04 00:00:00,2019-01-01 00:00:00,62.0,False,nan
Verizon,Orbic,Wonder,2019-03-04 00:00:00,2019-01-01 00:00:00,62.0,False,nan
Verizon,Orbic,Wonder,2019-06-21 00:00:00,2019-06-01 00:00:00,20.0,False,nan
Verizon,Orbic,Wonder,2019-09-27 00:00:00,2019-10-01 00:00:00,-4.0,False,nan
Verizon,Palm,Palm Palm,2018-11-21 00:00:00,2018-11-05 00:00:00,16.0,True,nan
Verizon,Palm,Palm Palm,2019-03-18 00:00:00,2019-03-01 00:00:00,17.0,False,nan
Verizon,Palm,Phone,2019-12-09 00:00:00,2019-10-01 00:00:00,69.0,False,nan
Verizon,RED,HYDROGEN ONE,2018-11-02 00:00:00,2018-10-01 00:00:00,32.0,False,nan
Verizon,RED,HYDROGEN ONE,2018-12-11 00:00:00,2018-11-01 00:00:00,40.0,False,nan
Verizon,RED,HYDROGEN ONE,2019-01-28 00:00:00,2018-12-01 00:00:00,58.0,False,nan
Verizon,Samgung,Galaxy S8+,2019-07-23 00:00:00,2019-07-01 00:00:00,22.0,nan, PPR1.180610.011.G955USQU5DSG7 PPR1.180610.011.G955USQU5DSG7
Verizon,Samgung,Galaxy S8+,2019-08-22 00:00:00,2019-08-01 00:00:00,21.0,False,nan
Verizon,Samgung,Galaxy S8+,2019-09-26 00:00:00,2019-09-01 00:00:00,25.0,False,nan
Verizon,Samgung,Galaxy S8+,2019-10-23 00:00:00,2019-10-01 00:00:00,22.0,False,nan
Verizon,Samsung,Galaxy A10e,2019-10-01 00:00:00,2019-09-01 00:00:00,30.0,False,nan
Verizon,Samsung,Galaxy A20,2019-10-01 00:00:00,2019-09-01 00:00:00,30.0,False,nan
Verizon,Samsung,Galaxy A50,2019-06-13 00:00:00,2019-05-01 00:00:00,43.0,nan, PPR1.180610.011.A505USQU1ASEL PPR1.180610.011.A505USQU1ASEL
Verizon,Samsung,Galaxy A50,2019-08-30 00:00:00,2019-08-01 00:00:00,29.0,False,nan
Verizon,Samsung,Galaxy A50,2019-10-16 00:00:00,2019-10-01 00:00:00,15.0,False,nan
Verizon,Samsung,Galaxy A50,2019-12-03 00:00:00,2019-11-01 00:00:00,32.0,False,nan
Verizon,Samsung,Galaxy Core Prime,2018-02-07 00:00:00,2018-01-01 00:00:00,37.0,False,nan
Verizon,Samsung,Galaxy Core Prime,2018-02-07 00:00:00,2018-02-01 00:00:00,6.0,nan, LMY48B.G360VVRU3CRA2 LMY48B.G360VVRU3CRA2
Verizon,Samsung,Galaxy J1,2018-02-01 00:00:00,2017-08-01 00:00:00,184.0,False,nan
Verizon,Samsung,Galaxy J3 (2016),2018-02-01 00:00:00,2018-01-01 00:00:00,31.0,False,nan
Verizon,Samsung,Galaxy J3 (3rd Gen.),2018-10-26 00:00:00,2018-09-01 00:00:00,55.0,False,nan
Verizon,Samsung,Galaxy J3 (3rd Gen.),2018-12-18 00:00:00,2018-12-01 00:00:00,17.0,False,nan
Verizon,Samsung,Galaxy J3 (3rd Gen.),2019-03-27 00:00:00,2019-03-01 00:00:00,26.0,False,nan
Verizon,Samsung,Galaxy J3 (3rd Gen.),2019-06-06 00:00:00,2019-05-01 00:00:00,36.0,False,nan
Verizon,Samsung,Galaxy J3 (3rd Gen.),2019-07-19 00:00:00,2019-06-01 00:00:00,48.0,False,nan
Verizon,Samsung,Galaxy J3 (3rd Gen.),2019-09-30 00:00:00,2019-09-01 00:00:00,29.0,False,nan
Verizon,Samsung,Galaxy J3 Eclipse,2018-11-19 00:00:00,2018-11-01 00:00:00,18.0,False,nan
Verizon,Samsung,Galaxy J3 Eclipse,2019-02-18 00:00:00,2019-01-01 00:00:00,48.0,False,nan
Verizon,Samsung,Galaxy J3 Eclipse,2019-04-23 00:00:00,2019-04-01 00:00:00,22.0,False,nan
Verizon,Samsung,Galaxy J3 Eclipse,2019-10-16 00:00:00,2019-08-01 00:00:00,76.0,False,nan
Verizon,Samsung,Galaxy J3 Mission,2018-11-19 00:00:00,2018-11-01 00:00:00,18.0,False,nan
Verizon,Samsung,Galaxy J3 Mission,2019-02-18 00:00:00,2019-01-01 00:00:00,48.0,False,nan
Verizon,Samsung,Galaxy J3 Mission,2019-04-23 00:00:00,2019-04-01 00:00:00,22.0,False,nan
Verizon,Samsung,Galaxy J3 Mission,2019-10-16 00:00:00,2019-08-01 00:00:00,76.0,False,nan
