Carrier,Manufacture,Model,Release_Date,Bulletin_Level,difference, build,Year_Phone_Release,Month_Phone_Release,Bulletin_Year,Prior_Missed_Bulletins,Days_Since_Last_Security_Updates
AT&T,Huawei,Huawei Ascend XT,2016-10-14,2016-10-01,13,20234 H1611C07B150 nan,2016,10,2016,1.0,0.0
AT&T,Huawei,Huawei Ascend XT,2017-01-16,2016-12-01,46,20234 H1611C07B170 nan,2016,10,2016,1.0,94.0
AT&T,Huawei,Huawei Ascend XT,2018-03-26,2018-02-01,53,nan H1611C07B180Previous 3.10.49,2016,10,2018,14.0,434.0
AT&T,Huawei,Huawei Ascend XT,2018-04-03,2018-03-01,33,20234 H1611C07B140 nan,2016,10,2018,0.0,8.0
AT&T,Kyocera,DuraForce PRO 2,2019-04-30,2019-04-01,29,nan nan 1.411AT,2018,11,2019,,
AT&T,Kyocera,DuraForce Pro,2017-12-19,2017-10-01,79,nan nan 1.017AT,2016,8,2017,,
AT&T,Kyocera,DuraForce Pro,2018-08-06,2018-05-01,97,nan nan 1.50AT (2GB RAM) or 3.017AT (3GB RAM),2016,8,2018,6.0,230.0
AT&T,Kyocera,DuraForce Pro,2018-09-18,2018-08-01,48,nan nan 1.050AT (2GB RAM) or 3.030AT (3GB RAM),2016,8,2018,2.0,43.0
AT&T,LG,G4,2016-08-02,2016-08-01,1,MPSS.BO.2.5.c3-00128-M8992FAAAANAZM-1.50758.1 MRA58K H81022b,2015,4,2016,,
AT&T,LG,G4,2016-09-30,2016-09-01,29,MPSS.BO.2.5.c3-00128-M8992FAAAANAZM-1.50758.1 MRA58K H81022c,2015,4,2016,0.0,59.0
AT&T,LG,G4,2016-12-12,2016-11-01,41,MPSS.BO.2.5.c3-00128-M8992FAAAANAZM-1.50758.1 MRA58K H81022d,2015,4,2016,1.0,73.0
AT&T,LG,G5,2016-05-05,2016-05-01,4,MPSS.TH.2.0.C1.4-00032-M8996FAAAANAZM-1.63052.1 MMB29M H82011k,2016,4,2016,,
AT&T,LG,G5,2016-09-30,2016-09-01,29,MPSS.TH.2.0.c1.4-00041-M8996FAAAANAZM-1.72241.1.75329.1 NRD90U H82020i,2016,4,2016,3.0,148.0
AT&T,LG,G5,2017-02-20,2017-01-01,50,MPSS.TH.2.0.c1.4-00041-M8996FAAAANAZM-1.72241.1.75329.1 NRD90U H82020n,2016,4,2017,3.0,143.0
AT&T,LG,G5,2017-03-23,2017-03-01,22,MPSS.TH.2.0.c1.4-00041-M8996FAAAANAZM-1.75329.1.104781.1 NRD90U H82020o,2016,4,2017,1.0,31.0
AT&T,LG,G5,2017-05-31,2017-04-01,60,MPSS.TH.2.0.c1.4-00041-M8996FAAAANAZM-1.104781.1.109835.1a NRD90U H82020p,2016,4,2017,0.0,69.0
AT&T,LG,G5,2017-07-21,2017-06-01,50,MPSS.TH.2.0.c1.4-00041-M8996FAAAANAZM-1.104781.1.109835.1a NRD90U H82020q,2016,4,2017,1.0,51.0
AT&T,LG,G5,2017-09-11,2017-08-01,41,nan OPR1.170623.032Software nan,2016,4,2017,1.0,52.0
AT&T,LG,G5,2017-10-04,2017-09-01,33,MPSS.TH.2.0.c1.4-00041-M8996FAAAANAZM-1.109835.1a.128516.1 NRD90U H82020r,2016,4,2017,0.0,23.0
AT&T,LG,G5,2018-02-05,2018-01-01,35,MPSS.TH.2.0.c1.4-00041-M8996FAAAANAZM-1.128516.1.135048.1 NRD90U H82020t,2016,4,2018,3.0,124.0
AT&T,LG,G6,2017-04-27,2017-04-01,26,nan nan nan,2017,3,2017,,
AT&T,LG,G6,2017-11-22,2017-11-01,21,nan nan nan,2017,3,2017,6.0,209.0
AT&T,LG,G6,2018-03-26,2018-03-01,25,nan nan nan,2017,3,2018,3.0,124.0
AT&T,LG,G6,2018-07-03,2018-06-01,32,nan nan nan,2017,3,2018,2.0,99.0
AT&T,LG,G8 ThinQ,2019-04-17,2019-04-01,16,nan nan G820UM10j,2019,4,2019,,
AT&T,LG,G8 ThinQ,2019-11-08,2019-11-01,7,nan nan G820UM10m,2019,4,2019,6.0,205.0
AT&T,LG,G8 ThinQ,2019-12-17,2019-12-01,16,nan nan G820UM10n,2019,4,2019,0.0,39.0
AT&T,LG,K10,2016-11-01,2016-09-01,61,MPSS.JO.2.0.c1.2-00020-8909_GEN_PACK-1.90266.1.93441.1.106743.1 NRD90U K42520f,2016,1,2016,,
AT&T,LG,K10,2017-06-21,2017-04-01,81,MPSS.JO.2.0.c1.2-00020-8909_GEN_PACK-1.90266.1.93441.1.106743.1 NRD90U K42520g,2016,1,2017,6.0,232.0
AT&T,LG,K10,2017-08-14,2017-07-01,44,MPSS.JO.2.0.c1.2-00020-8909_GEN_PACK-1.90266.1.93441.1.106743.1 NRD90U K42520i,2016,1,2017,2.0,54.0
AT&T,LG,K20,2017-06-20,2017-04-01,80,MPSS.JO.2.0.c1.2-00020-8909_GEN_PACK-1.92496.1.104247.1 NRD90U M15020e,2016,12,2017,,
AT&T,LG,K20,2017-08-11,2017-05-01,102,MPSS.JO.2.0.c1.2-00029-8937_GENNS_PACK-1 NRD90U M25510I,2016,12,2017,0.0,52.0
AT&T,LG,K20,2017-06-20,2017-06-01,19,MPSS.JO.2.0.c1.2-00020-8909_GEN_PACK-1.92496.1 NRD90U M15020d,2016,12,2017,0.0,-52.0
AT&T,LG,K20,2017-08-11,2017-08-01,10,MPSS.JO.2.0.c1.2-00029-8937_GENNS_PACK-1 NRD90U M25510k,2016,12,2017,1.0,52.0
AT&T,LG,K20,2017-11-09,2017-10-01,39,MPSS.JO.2.0.c1.2-00020-8909_GEN_PACK-1.92496.1.104247.1 nan M15020g,2016,12,2017,1.0,90.0
AT&T,LG,K20,2018-01-03,2017-12-01,33,MPSS.JO.2.0.c1.2-00020-8909_GEN_PACK-1.92496.1.104247.1 NRD90U M15020h,2016,12,2017,1.0,55.0
AT&T,LG,K20,2018-03-08,2018-02-01,35,MPSS.JO.2.0.c1.2-00029-8937_GENNS_PACK-1 NRD9OU M25510s,2016,12,2018,1.0,64.0
AT&T,LG,K20,2018-05-15,2018-04-01,44,MPSS.JO.2.0.c1.2-00029-8937_GENNS_PACK-1 NRD9OU M25510u,2016,12,2018,1.0,68.0
AT&T,LG,K20,2018-10-10,2018-08-01,70,MPSS.JO.2.0.c1.2-00044-8937_GENNS_PACK-1 OPM1.171019.026 M25520c,2016,12,2018,3.0,148.0
AT&T,LG,K20,2018-10-30,2018-10-01,29,MPSS.JO.2.0.c1.2-00044-8937_GENNS_PACK-1 OPM1.171019.026 M25520d,2016,12,2018,1.0,20.0
AT&T,LG,K20,2018-12-18,2018-12-01,17,nan OPM1.171019.026 M25520e,2016,12,2018,1.0,49.0
AT&T,LG,K20,2019-02-26,2019-02-01,25,nan OPM1.171019.026 M25520f,2016,12,2019,1.0,70.0
AT&T,LG,K30,2018-07-25,2018-05-01,85,MPSS.JO.3.0.c12-00005-8937_GENNS_PACK-1 OPM1.171019.019 X410AS10c,2018,5,2018,,
AT&T,LG,K30,2018-07-25,2018-07-01,24,MPSS.JO.3.0.c12-00005-8937_GENNS_PACK-1 OPM1.171019.019 X410AS10a,2018,5,2018,1.0,0.0
AT&T,LG,K30,2018-08-27,2018-08-01,26,MPSS.JO.3.0.c12-00005-8937_GENNS_PACK-1 OPM1.171019.019 X410AS10f,2018,5,2018,0.0,33.0
AT&T,LG,K30,2018-10-26,2018-10-01,25,MPSS.JO.3.0.c12-00015-8937_GENNS_PACK-1 OPM1.171019.019 X410ASR10g,2018,5,2018,1.0,60.0
AT&T,LG,K30,2018-12-18,2018-12-01,17,MPSS.JO.3.0.c12-00015-8937_GENNS_PACK-1 OPM1.171019.019 X410AS10i,2018,5,2018,1.0,53.0
AT&T,LG,K30,2019-02-22,2019-02-01,21,nan OPM1.171019.019 X410AS10j,2018,5,2019,1.0,66.0
AT&T,LG,K30,2019-04-22,2019-04-01,21,nan nan X410AS10k,2018,5,2019,1.0,59.0
AT&T,LG,LG G Vista 2,2015-11-12,2015-11-01,11,MPSS.TA.1.0.c1-00030-8952_GEN_PACK-1 MMB29M H74020e,2015,10,2015,,
AT&T,LG,LG Phoenix 4,2018-08-31,2018-08-01,30,MPSS.JO.3.0.c12-00013-8937_GENNS_PACK-1 N2G47H X210APM10h,2018,9,2018,,
AT&T,LG,LG Phoenix 4,2018-10-29,2018-10-01,28,MPSS.JO.3.0.c12-00013-8937_GENNS_PACK-1 N2G47H X210APM10k,2018,9,2018,1.0,59.0
AT&T,LG,LG Phoenix 4,2018-12-12,2018-11-01,41,MPSS.JO.3.0.c12-00013-8937_GENNS_PACK-1 nan X210APM10l,2018,9,2018,0.0,44.0
AT&T,LG,LG Phoenix 4,2019-01-16,2019-01-01,15,MPSS.JO.3.0.c12-00013-8937_GENNS_PACK-1 nan X210APM10m,2018,9,2019,1.0,35.0
AT&T,LG,LG Prime 2,2018-01-03,2017-11-01,63,nan PKQ1.190414.001Software nan,2019,9,2017,,
AT&T,LG,LG Prime 2,2018-08-01,2018-05-01,92,nan nan X320AA10d,2019,9,2018,5.0,210.0
AT&T,LG,LG Prime 2,2019-11-25,2019-11-01,24,nan nan X320AA10e,2019,9,2019,18.0,481.0
AT&T,LG,LG Stylo 5+,2018-01-03,2018-01-01,2,nan nan Q720AM10b,2019,10,2018,,
AT&T,LG,LG Stylo 5+,2018-04-24,2018-03-01,54,nan PKQ1.190302.001Software nan,2019,10,2018,1.0,111.0
AT&T,LG,LG V35 ThinQ,2018-07-25,2018-07-01,24,nan nan V350AWM10i,2018,6,2018,,
AT&T,LG,V20,2017-01-10,2016-12-01,40,MPSS.TH.2.0.1.c3-00045-M8996FAAAANAZM-1 NRD90M H91010r,2016,10,2016,,
AT&T,LG,V20,2017-01-10,2017-01-01,9,MPSS.TH.2.0.1.c3-00045-M8996FAAAANAZM-1 NRD90M H91010q,2016,10,2017,0.0,0.0
AT&T,LG,V20,2017-04-14,2017-04-01,13,MPSS.TH.2.0.1.c3-00045-M8996FAAAANAZM-1 NRD90M H91010u,2016,10,2017,2.0,94.0
AT&T,LG,V20,2017-10-04,2017-08-01,64,MPSS.TH.2.0.1.c3-00045-M8996FAAAANAZM-1.145041.1.149166.1 NRD90M H91010v,2016,10,2017,3.0,173.0
AT&T,LG,V20,2017-10-31,2017-10-01,30,MPSS.TH.2.0.1.c3-00058-M8996FAAAANAZM-1.155473.1.156374.2 OPR1.170623.032 H91020g,2016,10,2017,1.0,27.0
AT&T,LG,V30,2017-10-06,2017-10-01,5,nan nan H93120d,2017,9,2017,,
AT&T,LG,V30,2017-12-19,2017-12-01,18,nan nan nan,2017,9,2017,1.0,74.0
AT&T,LG,V30,2018-08-06,2018-05-01,97,nan nan H93120c,2017,9,2018,4.0,230.0
AT&T,LG,V30,2019-11-19,2019-11-01,18,nan nan H93120d,2017,9,2019,18.0,470.0
AT&T,Motorola,Moto G6 Play,2018-06-06,2018-06-01,5,nan OCP27.91-62 nan,2018,5,2018,,
AT&T,Motorola,Moto X,2015-12-22,2015-12-01,21,MSM8974BP_4235210.110.09.11R VICTARA_ATT_CUST LPES23.32-21.9-3 nan,2013,8,2015,,
AT&T,Motorola,Moto Z (2) Force,2017-09-01,2017-08-01,31,M8998_24.71.01.87R NUS_ATT NCXS26.122-59-8-9 nan,2017,8,2017,,
AT&T,Motorola,Moto Z (2) Force,2017-09-01,2017-09-01,0,M8998_24.71.01.87R NUS_ATT NCX26.122-59-8-6 nan,2017,8,2017,0.0,0.0
AT&T,Motorola,Moto Z (2) Force,2017-10-31,2017-10-01,30,M8998_20207.117.02.41R OCX27.109-47 nan,2017,8,2017,0.0,60.0
AT&T,Motorola,Moto Z (2) Force,2017-12-12,2017-11-01,41,M8998_20207.117.02.41R OCXS27.109-47-11 nan,2017,8,2017,0.0,42.0
AT&T,Motorola,Moto Z (2) Force,2018-02-20,2018-01-01,50,M8998_20207.117.02.41R OCXS27.109-47-14 nan,2017,8,2018,1.0,70.0
AT&T,Motorola,Moto Z (2) Force,2018-08-14,2018-07-01,44,M8998_20207.117.02.41R OCXS27.109-47-17 nan,2017,8,2018,5.0,175.0
AT&T,Motorola,Moto Z (2) Force,2018-10-09,2018-09-01,38,nan OCXS27.109-47-20 nan,2017,8,2018,1.0,56.0
AT&T,Motorola,Moto Z (2) Force,2018-12-18,2018-11-01,47,nan OCXS27.109-47-23 nan,2017,8,2018,1.0,70.0
AT&T,Motorola,Moto e5 play,2017-10-11,2017-08-01,71,nan nan nan,2018,7,2017,,
AT&T,Motorola,Moto e5 play,2019-01-22,2019-01-01,21,nan OCPS27.91-157-2 nan,2018,7,2019,17.0,468.0
AT&T,RED,RED Hydrogen One,2018-11-01,2018-09-01,61,MPSS.JO.3.0-00459-8909_GEN_PACK-1.154660.1 H1A1000.007ho.01.01.01r252 nan,2018,11,2018,,
AT&T,RED,RED Hydrogen One,2018-11-01,2018-11-01,0,MPSS.AT.2.0.C4-00933-8998_GEN_PACK-1.160736.2.163182.1 H1A1000.007ho.01.01.01r230 nan,2018,11,2018,1.0,0.0
AT&T,Razer,Razer Phone 2,2018-12-19,2018-12-01,18,nan nan nan,2018,10,2018,,
AT&T,Samsung,Galaxy A6,2018-11-06,2018-11-01,5,G892AUCU3BRJ2 nan nan,2018,5,2018,,
AT&T,Samsung,Galaxy Express 3,2016-11-08,2016-10-01,38,J120AUCS2AQB1 MMB29K.J120AUCS2AQB1 nan,2016,1,2016,,
AT&T,Samsung,Galaxy Express 3,2017-02-23,2017-01-01,53,J120AUCU2AQC1 MMB29K.J120AUCU2AQC1 nan,2016,1,2017,2.0,107.0
AT&T,Samsung,Galaxy Express 3,2017-03-28,2017-03-01,27,J120AUCS3AQE1 MMB29K.J120AUCS3AQE1 nan,2016,1,2017,1.0,33.0
AT&T,Samsung,Galaxy Express 3,2017-06-08,2017-05-01,38,J120AUCS4AQJ2 MMB29K.J120AUCS4AQJ2 nan,2016,1,2017,1.0,72.0
AT&T,Samsung,Galaxy Express Prime 3,2018-07-20,2018-07-01,19,J337AUCS1ARG1 nan nan,2016,1,2018,,
AT&T,Samsung,Galaxy Express prime,2016-11-08,2016-10-01,38,J320AUCU2AQC1 MMB29K.J320AUCU2AQC1 nan,2016,4,2016,,
AT&T,Samsung,Galaxy Express prime,2017-02-23,2017-01-01,53,J320AUCS3AQG1 MMB29K.J320AUCS3AQG1 nan,2016,4,2017,2.0,107.0
AT&T,Samsung,Galaxy Express prime,2017-03-28,2017-03-01,27,J320AUCU2AQI5 NMF26X.J320AUCU3BQI5 nan,2016,4,2017,1.0,33.0
AT&T,Samsung,Galaxy Express prime,2018-06-28,2018-06-01,27,nan NMF26X.J320AUCS3BQL2File 3.10.9,2016,4,2018,15.0,457.0
AT&T,Samsung,Galaxy Express prime,2018-07-26,2018-07-01,25,J320AUCU1APC9 MMB29K.J320AUCU1APC9 nan,2016,4,2018,0.0,28.0
AT&T,Samsung,Galaxy J3 (2016),2016-11-08,2016-10-01,38,J320AUCU2AQA1 MMB29K.J320AUCS2AQA1 nan,2015,11,2016,,
AT&T,Samsung,Galaxy J3 (2016),2016-11-08,2016-11-01,7,J320AUCU2APJ2 MMB29K.J320AUCU2APJ2 nan,2015,11,2016,0.0,0.0
AT&T,Samsung,Galaxy J3 (2016),2017-02-23,2017-01-01,53,J320AUCU2AQC1 MMB29K.J320AUCU2AQC1 nan,2015,11,2017,1.0,107.0
AT&T,Samsung,Galaxy J3 (2016),2017-03-28,2017-03-01,27,J320AUCS3AQG1 MMB29K.J320AUCS3AQG1 nan,2015,11,2017,1.0,33.0
AT&T,Samsung,Galaxy J3 (2016),2017-07-21,2017-07-01,20,J320AUCU2AQI5 NMF26X.J320AUCU3BQI5 nan,2015,11,2017,3.0,115.0
AT&T,Samsung,Galaxy J3 (2017),2017-04-18,2017-04-01,17,J327AUCU1AQC2 nan nan,2017,6,2017,,
AT&T,Samsung,Galaxy J3 (2018),2018-07-20,2018-07-01,19,J337AUCU3ARJ1 R16NW.J337AUCU3ARJ1 nan,2018,6,2018,,
AT&T,Samsung,Galaxy J3 (2018),2018-10-30,2018-09-01,59,J337AUCU4ARL1 R16NW.J337AUCU4ARL1 nan,2018,6,2018,1.0,102.0
AT&T,Samsung,Galaxy J3 (2018),2018-11-23,2018-10-01,53,nan PPR1.180610.011.J337AUCS9BTB1File nan,2018,6,2018,0.0,24.0
AT&T,Samsung,Galaxy J3 (2018),2019-01-08,2018-12-01,38,J337AUCS5ASC1 R16NW.J337AUCS5ASC1 nan,2018,6,2018,1.0,46.0
AT&T,Samsung,Galaxy J3 (2018),2019-03-21,2019-03-01,20,J337AUCS6ASE1 nan nan,2018,6,2019,2.0,72.0
AT&T,Samsung,Galaxy J3 Emerge,2017-04-18,2017-04-01,17,J327AUCU1AQC2 nan nan,2017,1,2017,,
AT&T,Samsung,Galaxy J7,2017-11-15,2017-11-01,14,J727AUCS1AQJ1 nan nan,2015,7,2017,,
AT&T,Samsung,Galaxy J7 (2018),2017-03-31,2017-03-01,30,nan PPR1.180610.011.J737AUCU6BTA3File nan,2018,7,2017,,
AT&T,Samsung,Galaxy J7 (2018),2018-08-16,2018-08-01,15,J737AUCS2ARH1 nan nan,2018,7,2018,17.0,503.0
AT&T,Samsung,Galaxy Note Edge,2016-08-19,2016-08-01,18,N915AUCU2DPH5 MMB29M.N915AUCU2DPH5 nan,2014,9,2016,,
AT&T,Samsung,Galaxy Note Edge,2016-09-26,2016-09-01,25,N915AUCU2DPK1 MMB29M.N915AUCU2DPK1 nan,2014,9,2016,0.0,38.0
AT&T,Samsung,Galaxy Note Edge,2016-12-08,2016-11-01,37,N915AUCS2DPK2 MMB29M.N915AUCS2DPK2 nan,2014,9,2016,1.0,73.0
AT&T,Samsung,Galaxy Note Edge,2017-01-12,2016-12-01,42,N915AUCS2DPK3 MMB29M.N915AUCS2DPK3 nan,2014,9,2016,0.0,35.0
AT&T,Samsung,Galaxy Note Edge,2017-02-01,2017-01-01,31,N915AUCS2DPK4 MMB29M.N915AUCS2DPK4 nan,2014,9,2017,0.0,20.0
AT&T,Samsung,Galaxy Note Edge,2017-03-10,2017-02-01,37,N915AUCS2DPK5 MMB29M.N915AUCS2DPK5 nan,2014,9,2017,0.0,37.0
AT&T,Samsung,Galaxy Note Edge,2017-03-27,2017-03-01,26,N915AUCS2DQD1 MMB29M.N915AUCS2DQD1 nan,2014,9,2017,0.0,17.0
AT&T,Samsung,Galaxy Note Edge,2017-04-26,2017-04-01,25,N915AUCS2DQE1 MMB29M.N915AUCS2DQE1 nan,2014,9,2017,0.0,30.0
AT&T,Samsung,Galaxy Note Edge,2017-05-22,2017-05-01,21,N915AUCS2DQF1 MMB29M.N915AUCS2DQF1 nan,2014,9,2017,0.0,26.0
AT&T,Samsung,Galaxy Note Edge,2017-06-20,2017-06-01,19,N915AUCS2DQG1 MMB29M.N915AUCS2DQG1 nan,2014,9,2017,0.0,29.0
AT&T,Samsung,Galaxy Note10,2019-09-19,2019-09-01,18,nan nan nan,2019,8,2019,,
AT&T,Samsung,Galaxy Note10+,2019-09-19,2019-09-01,18,nan nan nan,2019,8,2019,,
AT&T,Samsung,Galaxy Note3,2018-03-06,2018-02-01,33,nan LRX21V.N900AUCSEOC3 3.4.0,2013,9,2018,,
AT&T,Samsung,Galaxy Note4,2016-08-18,2016-08-01,17,N910AUCU2EPH5 MMB29M.N910AUCU2EPH5 nan,2014,10,2016,,
AT&T,Samsung,Galaxy Note4,2016-09-26,2016-09-01,25,N910AUCU2EPK1 MMB29M.N910AUCU2EPK1 nan,2014,10,2016,0.0,39.0
AT&T,Samsung,Galaxy Note4,2016-12-01,2016-11-01,30,N910AUCS2EPK2 MMB29M.N910AUCS2EPK2 nan,2014,10,2016,1.0,66.0
AT&T,Samsung,Galaxy Note4,2017-01-12,2016-12-01,42,N910AUCS2EPK3 MMB29M.N910AUCS2EPK3 nan,2014,10,2016,0.0,42.0
AT&T,Samsung,Galaxy Note4,2017-02-06,2017-01-01,36,N910AUCS2EPK4 MMB29M.N910AUCS2EPK4 nan,2014,10,2017,0.0,25.0
AT&T,Samsung,Galaxy Note4,2017-03-10,2017-02-01,37,N910AUCS2EPK5 MMB29M.N910AUCS2EPK5 nan,2014,10,2017,0.0,32.0
AT&T,Samsung,Galaxy Note4,2017-03-27,2017-03-01,26,N910AUCS2EQD1 MMB29M.N910AUCS2EQD1 nan,2014,10,2017,0.0,17.0
AT&T,Samsung,Galaxy Note4,2017-04-26,2017-04-01,25,N910AUCS2EQE1 MMB29M.N910AUCS2EQE1 nan,2014,10,2017,0.0,30.0
AT&T,Samsung,Galaxy Note4,2017-05-22,2017-05-01,21,N910AUCS2EQF1 MMB29M.N910AUCS2EQF1 nan,2014,10,2017,0.0,26.0
AT&T,Samsung,Galaxy Note4,2017-06-20,2017-06-01,19,N910AUCS2EQG1 MMB29M.N910AUCS2EQG1 nan,2014,10,2017,0.0,29.0
AT&T,Samsung,Galaxy Note5,2015-09-15,2015-09-01,14,G920AUCU1AOH5 LMY47X.N920AUCU1AOH5 nan,2015,8,2015,,
AT&T,Samsung,Galaxy Note5,2016-08-25,2016-08-01,24,N920AUCS3CPJ1 MMB29K. N920AUCS3CPJ1 nan,2015,8,2016,11.0,345.0
AT&T,Samsung,Galaxy Note5,2016-09-20,2016-09-01,19,N920AUCS4CPK1 MMB29K.N920AUCS4CPK1 nan,2015,8,2016,0.0,26.0
AT&T,Samsung,Galaxy Note5,2016-10-26,2016-10-01,25,N920AUCS4CPL1 MMB29K.N920AUCS4CPL1 nan,2015,8,2016,0.0,36.0
AT&T,Samsung,Galaxy Note5,2016-11-29,2016-11-01,28,N920AUCS4CQA1 MMB29K.N920AUCS4CQA1 nan,2015,8,2016,0.0,34.0
AT&T,Samsung,Galaxy Note5,2017-01-16,2016-12-01,46,N920AUCS4CQB2 MMB29K.N920AUCS4CQB2 nan,2015,8,2016,0.0,48.0
AT&T,Samsung,Galaxy Note5,2017-02-08,2017-01-01,38,N920AUCU4EQC6 NRD90M.N920AUCU4EQC6 nan,2015,8,2017,0.0,23.0
AT&T,Samsung,Galaxy Note5,2017-03-10,2017-02-01,37,N920AUCS4EQD1 NRD90M.N920AUCS4EQD1 nan,2015,8,2017,0.0,30.0
AT&T,Samsung,Galaxy Note5,2017-04-11,2017-03-01,41,N920AUCS4EQE1 NRD90M.N920AUCS4EQE1 nan,2015,8,2017,0.0,32.0
AT&T,Samsung,Galaxy Note5,2017-04-27,2017-04-01,26,N920AUCS4EQF1 NRD90M.N920AUCS4EQF1 nan,2015,8,2017,0.0,16.0
AT&T,Samsung,Galaxy Note5,2017-05-25,2017-05-01,24,N920AUCS4EQG1 NRD90M.N920AUCS4EQG1 nan,2015,8,2017,0.0,28.0
AT&T,Samsung,Galaxy Note5,2017-06-27,2017-06-01,26,N920AUCS4EQH1 NRD90M.N920AUCS4EQH1 nan,2015,8,2017,0.0,33.0
AT&T,Samsung,Galaxy Note5,2017-07-31,2017-07-01,30,N920AUCS4EQJ1 NRD90M.N920AUCS4EQJ1 nan,2015,8,2017,0.0,34.0
AT&T,Samsung,Galaxy Note5,2017-08-25,2017-08-01,24,N920AUCU4EQK6 NRD90M.N920AUCU4EQK6 nan,2015,8,2017,0.0,25.0
AT&T,Samsung,Galaxy Note5,2017-11-07,2017-10-01,37,N920AUCS4EQL1 NRD90M.N920AUCS4EQL1 nan,2015,8,2017,1.0,74.0
AT&T,Samsung,Galaxy Note5,2017-12-12,2017-11-01,41,N920AUCS5ERA2 NRD90M.N920AUCS5ERA2 nan,2015,8,2017,0.0,35.0
AT&T,Samsung,Galaxy Note5,2017-12-28,2017-12-01,27,N920AUCS5ERB2 NRD90M.N920AUCS5ERB2 nan,2015,8,2017,0.0,16.0
AT&T,Samsung,Galaxy Note5,2018-02-02,2018-01-01,32,N920AUCU5ERB5 NRD90M.N920AUCU5ERB5 nan,2015,8,2018,0.0,36.0
AT&T,Samsung,Galaxy Note5,2018-03-09,2018-02-01,36,N920AUCS5ERD1 NRD90M.N920AUCS5ERD1 nan,2015,8,2018,0.0,35.0
AT&T,Samsung,Galaxy Note5,2018-03-27,2018-03-01,26,N920AUCS5ERE1 NRD90M.N920AUCS5ERE1 nan,2015,8,2018,0.0,18.0
AT&T,Samsung,Galaxy Note5,2018-05-07,2018-04-01,36,N920AUCS5ERF2 NRD90M.N920AUCS5ERF2 nan,2015,8,2018,0.0,41.0
AT&T,Samsung,Galaxy Note5,2018-05-25,2018-05-01,24,N920AUCS5ERG1 NRD90M.N920AUCS5ERG1 nan,2015,8,2018,0.0,18.0
AT&T,Samsung,Galaxy Note8,2017-09-25,2017-08-01,55,N950USQU2BQJA NMF26X.N950USQU2BQJA nan,2017,8,2017,,
AT&T,Samsung,Galaxy Note8,2017-09-25,2017-09-01,24,N950USQU1AQIA NMF26X.N950USQU1AQIA nan,2017,8,2017,0.0,0.0
AT&T,Samsung,Galaxy Note8,2017-11-14,2017-10-01,44,N950USQS2BQK2 NMF26X.N950USQS2BQK2 nan,2017,8,2017,0.0,50.0
AT&T,Samsung,Galaxy Note8,2017-12-04,2017-11-01,33,N950USQS2BQL5 NMF26X.N950USQS2BQL5 nan,2017,8,2017,0.0,20.0
AT&T,Samsung,Galaxy Note8,2017-12-28,2017-12-01,27,N950USQS3BRA8 NMF26X.N950USQS3BRA8 nan,2017,8,2017,0.0,24.0
AT&T,Samsung,Galaxy Note8,2018-01-26,2018-01-01,25,N950USQS3BRB2 NMF26X.N950USQS3BRB2 nan,2017,8,2018,0.0,29.0
AT&T,Samsung,Galaxy Note8,2018-03-09,2018-02-01,36,N950USQU3CRC2 R16NW.N950USQU3CRC2 nan,2017,8,2018,0.0,42.0
